Gene	Score	p-value	q-value	is_cancer_related(<=threshold)
TSSK4	0.50881124	0.8699473033127807	0.9042398318666041	0
MGAM	0.508599	0.876222202741007	0.9088764463214173	0
ELP5	0.508059	0.8823256674751371	0.9133164450517431	0
GADD45G	0.5071596	0.8889395400485083	0.918265380544954	0
WDR82P1	0.48705354	0.8961826558740734	0.9238426143887052	0
EID2	0.48502424	0.9028160096626828	0.9287696526509325	0
POTEF	0.48332658	0.9091766264379572	0.9333964955848698	0
ENY2	0.4787119	0.915749588459328	0.9382219709982073	0
TNP2	0.4762237	0.9222134556753652	0.9429162067211387	0
DPEP2	0.47468492	0.9287377146586404	0.9476529430630934	0
RNASE12	0.47259885	0.9351450863504864	0.9522513989056782	0
RAC3	0.46989462	0.9416537603615712	0.956934145925248	0
USP12P1	0.46971256	0.9480708726610366	0.9615050753100797	0
SIRT4	0.46844408	0.9543808382766916	0.9659490908618638	0
DAND5	0.46521917	0.9609732815133007	0.9706605121737171	0
SAP25	0.46313587	0.9674702667952428	0.9752567478157277	0
HSPA1A	0.45579425	0.9740685543964231	0.979936437254233	0
CSNK2A3	0.442282	0.9808850316082716	0.9848164345405692	0
TSSK6	0.43280378	0.9874248755637376	0.9893997253148651	0
CDK5	0.41013646	0.9938536765923458	0.9938536765923458	0
